Pathway,Number of Genes,Number of Impacted Genes,Number of Molecules,Mean Similarity Active,Mean Similarity non-Active,Mean Variance Active,Mean Variance non-Active,Kurtosis Active,Kurtosis Inactive,Skewness Active,Skewness Inactive,P-Value Levene Test,P-Value Kolmogorov-Smirnov Test,P-Value Kolmogorov-Smirnov Test Left,P-Value Kolmogorov-Smirnov Test Right,P-Value extreme values Test (Fisher exact) Left,P-Value extreme values Test (Fisher exact) Right,Proportion extreme values Left Active,Proportion extreme values Left Inactive,Proportion extreme values Right Active,Proportion extreme values Right Inactive
APOPTOSIS,161,24,488,0.022751562,0.002384039,0.052983794,0.011999985,2.5480164198900246,1.8332967659155859,1.1999956543626191,0.21498557383532382,0.0,0.0,0.0,0.0,0.0,0.0,0.11788922728455334,0.03205345069013803,0.14548292802375232,0.03194086817363473
ADIPOGENESIS,200,8,177,0.008515371,0.0028543612,0.0718954,0.011854346,1.157915290373868,1.6050608718536798,0.790855409824999,0.16685725054582015,0.0,2.9775853985680005e-221,0.0,3.024150577338372e-302,0.0,0.0,0.20761128100577642,0.03095739147829566,0.18603465851172274,0.03206473294658932
ALLOGRAFT_REJECTION,200,21,588,0.060185965,0.0029428694,0.07868546,0.01199598,0.8437923829480454,1.662045551042877,0.9682841885965208,0.1608867698936626,0.0,0.0,0.0,0.0,0.0,0.0,0.1316019038582207,0.03204464892978596,0.228371160527081,0.03238247649529906
ANDROGEN_RESPONSE,101,10,120,0.1379631,0.002867593,0.1093441,0.011915715,-0.3809237884106409,1.6331472986477609,0.5443015721477523,0.15758389833680542,0.0,1.246967782776076e-170,2.1233542977282044e-74,5.130363068883637e-277,8.290367819916824e-84,0.0,0.14458560193587416,0.031608081616323266,0.3660012099213551,0.03228037607521504
ANGIOGENESIS,36,4,95,0.1062689,0.002821839,0.105285354,0.011823374,-0.06049442385358006,1.7993868048267476,0.8427199446818863,0.19203274994882555,0.0,2.0072244749342212e-269,2.1107065182687225e-141,0.0,5.4353340809158185e-207,0.0,0.1379619260918253,0.03087889577915583,0.29070548712206046,0.03146781356271254
APICAL_JUNCTION,200,12,395,0.04308076,0.002623408,0.09165322,0.012119069,0.27490603457692675,1.7203400098114852,0.6253139322563472,0.18897179784884433,0.0,0.0,0.0,0.0,0.0,0.0,0.210777474471742,0.03249585917183437,0.2588818117480538,0.03312878575715143
APICAL_SURFACE,44,3,94,0.16138482,0.002656536,0.13354993,0.011705061,-0.883495268629122,1.915647717483366,0.30879615346201,0.20958049958694777,0.0,5.248660616261016e-251,7.902187980983585e-150,0.0,2.20939429859557e-159,0.0,0.1903954802259887,0.03019371874374875,0.4214689265536723,0.030651010202040408
BILE_ACID_METABOLISM,112,5,24,0.01446399,0.0028214802,0.03146781,0.01204731,-0.26326114705645676,1.8592196074694058,0.22467733994183534,0.21672773244304974,1.1448373411865019e-33,0.0005663271992569829,3.6487256254404724e-07,1.052832935523147e-06,4.691867491690233e-11,7.353019700076303e-11,0.1380952380952381,0.03189021804360872,0.1380952380952381,0.032512902580516104
CHOLESTEROL_HOMEOSTASIS,74,6,40,0.046026025,0.0030336855,0.038340025,0.01183867,0.44136905954851446,1.6515168393890844,-0.21295438002491862,0.1527064838478192,6.132874097260978e-166,8.258395232506052e-42,3.368019424571124e-21,2.2061095373665002e-48,4.0253218699883405e-31,2.207800485463889e-78,0.12564102564102564,0.030982116423284658,0.20512820512820512,0.03187765553110622
COAGULATION,138,13,144,0.00027904744,0.0025309864,0.03309262,0.011788381,4.749874521644728,1.8202212619089515,1.005021277535381,0.2026928605754937,0.0,6.2767145601700875e-37,1.640083441612234e-63,3.504613737887232e-42,1.499020895317204e-159,5.3458977636905364e-102,0.09252833680314597,0.030879455891178235,0.0784177654406662,0.030952910582116425
COMPLEMENT,200,22,486,0.028978322,0.0032865785,0.056890294,0.011925627,2.415515956771223,1.7414959849924196,1.211236111198453,0.17656525210030855,0.0,0.0,0.0,0.0,0.0,0.0,0.11118674835488995,0.03130930186037208,0.15227522647536262,0.03233982796559312
