UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
25.329037,-8.407477,source_2,JCP2022_025848
26.026089,-9.771626,source_6,JCP2022_012818
26.593288,-11.267584,source_11,JCP2022_064022
25.570982,-10.254415,source_5,JCP2022_012818
26.106352,-7.143336,source_6,JCP2022_035095
22.432625,-9.978078,source_8,JCP2022_037716
22.331089,-10.0712185,source_10,JCP2022_037716
28.061325,-9.02028,source_8,JCP2022_046054
25.831966,-10.816768,source_8,JCP2022_064022
22.257664,-10.336393,source_10,JCP2022_037716
25.590553,-7.024964,source_2,JCP2022_025848
21.842112,-10.371534,source_8,JCP2022_037716
26.414959,-11.525971,source_3,JCP2022_064022
22.072523,-10.023169,source_10,JCP2022_037716
28.229641,-9.122824,source_8,JCP2022_046054
26.27231,-9.346808,source_11,JCP2022_050797
24.748842,-11.117687,source_2,JCP2022_085227
25.879034,-9.295283,source_6,JCP2022_012818
28.627392,-8.787671,source_6,JCP2022_046054
24.128141,-10.014006,source_10,JCP2022_085227
26.781443,-11.456468,source_11,JCP2022_064022
21.350079,-10.086538,source_5,JCP2022_037716
27.509727,-8.753609,source_10,JCP2022_046054
25.942616,-7.8365393,source_11,JCP2022_035095
25.79008,-10.716917,source_2,JCP2022_085227
25.834879,-10.470495,source_10,JCP2022_050797
22.076551,-10.411527,source_8,JCP2022_037716
22.250328,-10.021861,source_10,JCP2022_037716
27.312098,-9.326709,source_10,JCP2022_046054
25.252985,-9.97422,source_6,JCP2022_025848
25.080065,-9.34048,source_3,JCP2022_085227
25.056969,-9.759787,source_3,JCP2022_050797
26.528372,-9.464588,source_6,JCP2022_050797
25.58585,-6.860222,source_11,JCP2022_035095
21.351171,-10.214295,source_5,JCP2022_037716
26.724953,-9.950888,source_5,JCP2022_050797
26.345083,-9.933266,source_3,JCP2022_050797
26.060368,-11.657109,source_5,JCP2022_064022
23.992405,-11.304081,source_11,JCP2022_025848
22.191835,-10.816111,source_6,JCP2022_037716
27.345907,-8.575429,source_10,JCP2022_046054
26.858353,-10.211986,source_11,JCP2022_025848
25.2508,-11.594013,source_3,JCP2022_064022
22.857424,-10.43448,source_11,JCP2022_085227
25.451273,-10.75462,source_6,JCP2022_025848
26.353664,-10.887135,source_10,JCP2022_064022
26.358572,-11.512395,source_11,JCP2022_064022
27.323402,-9.257785,source_10,JCP2022_050797
25.008677,-8.1416855,source_6,JCP2022_050797
24.514606,-9.202836,source_11,JCP2022_012818
26.039772,-11.283179,source_6,JCP2022_064022
22.04933,-9.55966,source_11,JCP2022_037716
26.530521,-11.642023,source_5,JCP2022_064022
24.489403,-11.8157215,source_8,JCP2022_012818
27.476538,-8.953995,source_3,JCP2022_025848
26.225676,-9.1296,source_2,JCP2022_050797
28.178625,-9.622331,source_11,JCP2022_046054
22.12162,-9.886923,source_2,JCP2022_037716
23.900658,-11.226186,source_2,JCP2022_012818
26.167164,-7.4363995,source_11,JCP2022_035095
25.326887,-6.177365,source_8,JCP2022_035095
25.139223,-7.3846045,source_3,JCP2022_037716
26.096172,-9.985004,source_3,JCP2022_050797
23.71458,-10.668374,source_10,JCP2022_012818
25.228733,-11.2064295,source_5,JCP2022_085227
21.31365,-10.180728,source_5,JCP2022_037716
26.296423,-7.538547,source_11,JCP2022_035095
25.795246,-8.70233,source_8,JCP2022_050797
28.504538,-8.783926,source_6,JCP2022_046054
24.636633,-8.8271055,source_2,JCP2022_085227
24.291697,-11.068146,source_3,JCP2022_085227
25.579264,-9.969487,source_8,JCP2022_085227
25.993225,-9.191949,source_2,JCP2022_085227
26.6025,-9.378013,source_3,JCP2022_046054
26.4234,-7.1776896,source_5,JCP2022_035095
25.957207,-11.734162,source_8,JCP2022_064022
27.585958,-8.672187,source_8,JCP2022_046054
25.567408,-8.673364,source_11,JCP2022_012818
25.15172,-7.6415634,source_3,JCP2022_025848
28.12931,-8.50593,source_5,JCP2022_046054
21.937777,-10.577989,source_8,JCP2022_037716
24.673855,-7.7634606,source_2,JCP2022_037716
24.375835,-10.536952,source_3,JCP2022_037716
28.144878,-9.144242,source_8,JCP2022_046054
25.082588,-9.32903,source_5,JCP2022_025848
28.35719,-9.321142,source_2,JCP2022_046054
23.844734,-11.180736,source_10,JCP2022_012818
26.484861,-11.123911,source_10,JCP2022_064022
22.290134,-9.283128,source_11,JCP2022_037716
25.123898,-8.076247,source_6,JCP2022_025848
27.462557,-8.877496,source_10,JCP2022_046054
24.723913,-9.651014,source_5,JCP2022_012818
26.924341,-8.329181,source_10,JCP2022_064022
24.732103,-10.618104,source_3,JCP2022_035095
26.163837,-7.7022605,source_11,JCP2022_035095
28.502886,-8.5940485,source_5,JCP2022_046054
25.382715,-10.78977,source_8,JCP2022_085227
26.164177,-6.9867153,source_5,JCP2022_035095
24.64062,-9.217948,source_3,JCP2022_037716
25.463568,-11.735385,source_2,JCP2022_064022
25.377758,-11.93511,source_2,JCP2022_064022
25.246054,-11.047027,source_5,JCP2022_012818
25.99045,-8.79919,source_3,JCP2022_050797
21.394363,-10.181623,source_5,JCP2022_037716
25.867947,-8.891826,source_6,JCP2022_085227
26.216763,-11.761749,source_11,JCP2022_064022
28.398952,-8.674447,source_5,JCP2022_046054
25.61881,-9.394038,source_11,JCP2022_085227
26.605946,-11.700972,source_11,JCP2022_064022
25.325085,-6.2458973,source_8,JCP2022_035095
26.220274,-11.670775,source_3,JCP2022_064022
24.688463,-8.355726,source_6,JCP2022_085227
27.105433,-9.178491,source_3,JCP2022_046054
21.77859,-10.829521,source_6,JCP2022_037716
25.335596,-8.056171,source_10,JCP2022_025848
24.930525,-11.096513,source_6,JCP2022_012818
25.359972,-9.073522,source_3,JCP2022_050797
22.565306,-9.492959,source_3,JCP2022_037716
24.661621,-10.026675,source_6,JCP2022_085227
24.918545,-6.2897696,source_2,JCP2022_035095
23.984169,-9.185842,source_11,JCP2022_012818
26.904572,-9.069603,source_10,JCP2022_050797
24.739195,-9.039894,source_10,JCP2022_025848
