UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
-17.148382,4.857422,source_2,JCP2022_025848
-11.592671,4.0168734,source_6,JCP2022_012818
9.749815,3.696286,source_11,JCP2022_064022
-22.062172,9.974423,source_5,JCP2022_012818
-14.435203,-0.3315166,source_6,JCP2022_035095
-24.928009,10.834855,source_8,JCP2022_037716
-26.709196,9.254413,source_10,JCP2022_037716
-24.737251,10.490941,source_8,JCP2022_046054
-26.394787,11.310683,source_8,JCP2022_064022
-26.95008,9.4716,source_10,JCP2022_037716
-17.534245,4.7255707,source_2,JCP2022_025848
-25.0228,10.828397,source_8,JCP2022_037716
4.1009207,4.0804963,source_3,JCP2022_064022
-26.530592,9.134114,source_10,JCP2022_037716
-24.75331,10.5817175,source_8,JCP2022_046054
10.229565,4.6104264,source_11,JCP2022_050797
-19.311848,3.7303386,source_2,JCP2022_085227
-14.8151455,0.2692876,source_6,JCP2022_012818
-15.686718,0.024547093,source_6,JCP2022_046054
-17.389656,4.36598,source_10,JCP2022_085227
9.601349,3.7259276,source_11,JCP2022_064022
-20.57515,10.42831,source_5,JCP2022_037716
-25.744781,8.468949,source_10,JCP2022_046054
11.178364,5.173246,source_11,JCP2022_035095
-17.523067,3.947718,source_2,JCP2022_085227
-26.089088,8.88256,source_10,JCP2022_050797
-25.08656,10.865959,source_8,JCP2022_037716
-26.635036,9.145122,source_10,JCP2022_037716
-26.040173,8.668088,source_10,JCP2022_046054
-11.3740225,4.0252924,source_6,JCP2022_025848
1.0444208,1.9035553,source_3,JCP2022_085227
2.2494683,2.4574606,source_3,JCP2022_050797
-14.869012,0.34600958,source_6,JCP2022_050797
11.203756,5.180816,source_11,JCP2022_035095
-20.571129,10.426238,source_5,JCP2022_037716
-21.41683,9.722173,source_5,JCP2022_050797
2.4030209,2.1899662,source_3,JCP2022_050797
-22.358017,10.109953,source_5,JCP2022_064022
10.728231,4.379574,source_11,JCP2022_025848
-16.340584,-0.053499527,source_6,JCP2022_037716
-26.166212,8.8308525,source_10,JCP2022_046054
10.438421,4.3452277,source_11,JCP2022_025848
2.9515,2.7052927,source_3,JCP2022_064022
10.061118,3.5788703,source_11,JCP2022_085227
-16.06265,-0.05582866,source_6,JCP2022_025848
-26.255007,9.488119,source_10,JCP2022_064022
9.70281,3.8330152,source_11,JCP2022_064022
-25.907324,8.5474825,source_10,JCP2022_050797
-11.534994,4.055275,source_6,JCP2022_050797
10.268343,4.493981,source_11,JCP2022_012818
-16.056057,-0.056269653,source_6,JCP2022_064022
10.330051,3.4796758,source_11,JCP2022_037716
-22.084059,10.018338,source_5,JCP2022_064022
-27.633003,10.205659,source_8,JCP2022_012818
1.3880534,2.1176078,source_3,JCP2022_025848
-16.993439,4.7513065,source_2,JCP2022_050797
10.811444,3.7777991,source_11,JCP2022_046054
-18.381845,3.704112,source_2,JCP2022_037716
-19.389713,3.8848047,source_2,JCP2022_012818
11.0930195,5.0711102,source_11,JCP2022_035095
-24.610064,9.848873,source_8,JCP2022_035095
1.7228819,2.1840398,source_3,JCP2022_037716
4.3929186,4.0597744,source_3,JCP2022_050797
-27.068684,9.498547,source_10,JCP2022_012818
-22.155392,10.083566,source_5,JCP2022_085227
-20.54661,10.45014,source_5,JCP2022_037716
11.134738,5.1247807,source_11,JCP2022_035095
-23.435978,9.318039,source_8,JCP2022_050797
-15.770103,-0.006727778,source_6,JCP2022_046054
-17.259283,4.794395,source_2,JCP2022_085227
3.9432197,4.055889,source_3,JCP2022_085227
-25.429508,10.577372,source_8,JCP2022_085227
-17.17136,4.784906,source_2,JCP2022_085227
4.5985117,3.8659775,source_3,JCP2022_046054
-22.814394,9.968948,source_5,JCP2022_035095
-25.350613,10.821902,source_8,JCP2022_064022
-26.451963,9.041857,source_8,JCP2022_046054
11.35454,4.129286,source_11,JCP2022_012818
1.4536623,2.1086612,source_3,JCP2022_025848
-21.028212,9.7072,source_5,JCP2022_046054
-25.309568,10.852919,source_8,JCP2022_037716
1.4313235,2.075744,source_2,JCP2022_037716
3.094128,2.9999459,source_3,JCP2022_037716
-26.175009,11.401455,source_8,JCP2022_046054
-20.013521,8.78702,source_5,JCP2022_025848
-18.06077,3.9004555,source_2,JCP2022_046054
-19.535252,3.6562414,source_10,JCP2022_012818
-26.589975,9.644831,source_10,JCP2022_064022
10.312997,3.5479271,source_11,JCP2022_037716
-11.655075,4.1309934,source_6,JCP2022_025848
-26.283728,8.841991,source_10,JCP2022_046054
-21.111238,9.672205,source_5,JCP2022_012818
-26.181547,8.986804,source_10,JCP2022_064022
2.874561,2.6514757,source_3,JCP2022_035095
11.132947,5.078321,source_11,JCP2022_035095
-20.332613,9.085713,source_5,JCP2022_046054
-25.893858,11.369334,source_8,JCP2022_085227
-22.919802,9.719884,source_5,JCP2022_035095
4.606021,3.9104574,source_3,JCP2022_037716
-19.195726,4.011594,source_2,JCP2022_064022
-19.29202,3.9627328,source_2,JCP2022_064022
-21.690714,10.06424,source_5,JCP2022_012818
1.4231844,2.1355963,source_3,JCP2022_050797
-20.633238,10.268126,source_5,JCP2022_037716
-14.983517,0.22995219,source_6,JCP2022_085227
9.720008,3.595065,source_11,JCP2022_064022
-21.502712,9.981257,source_5,JCP2022_046054
11.12323,3.7922034,source_11,JCP2022_085227
10.289744,3.886917,source_11,JCP2022_064022
-24.20271,9.747161,source_8,JCP2022_035095
2.0001593,2.4374456,source_3,JCP2022_064022
-14.770663,0.6516085,source_6,JCP2022_085227
3.9891658,4.0521536,source_3,JCP2022_046054
-16.294682,-0.15505248,source_6,JCP2022_037716
-25.503412,8.147046,source_10,JCP2022_025848
-15.951194,-0.058052342,source_6,JCP2022_012818
1.2287459,1.9681052,source_3,JCP2022_050797
3.9753711,4.108391,source_3,JCP2022_037716
-11.398274,3.9310763,source_6,JCP2022_085227
-18.479925,4.5737495,source_2,JCP2022_035095
10.149498,4.470378,source_11,JCP2022_012818
-25.11379,7.7364154,source_10,JCP2022_050797
-25.437233,8.118387,source_10,JCP2022_025848
2.7074046,2.4563868,source_3,JCP2022_050797
-19.995068,8.814176,source_5,JCP2022_085227
-17.242102,4.2457457,source_2,JCP2022_046054
-27.650131,10.187806,source_8,JCP2022_012818
-22.403208,9.984884,source_5,JCP2022_064022
-19.555317,3.8017678,source_2,JCP2022_012818
2.7520385,2.5876102,source_3,JCP2022_025848
