Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Curie,biophoenix_1,1,1.23224043715847,1.7083333333333335,3.416666666666667,36.0655737704918,50.0,100.0,0.36065573770491804,0.5,1.0,0.2926829268292683,2.0,2.0,2,60.0,205.0
Curie,biophoenix_1,3,1.138888888888889,1.1388888888888888,2.8472222222222223,33.33333333333333,33.33333333333333,83.33333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.2926829268292683,6.0,6.0,6,60.0,205.0
Curie,biophoenix_1,5,1.1090163934426231,1.0250000000000001,2.0500000000000003,32.459016393442624,30.0,60.0,0.32459016393442625,0.3,0.6,0.2926829268292683,10.0,10.0,10,60.0,205.0
Curie,biophoenix_1,10,1.044603825136612,1.0250000000000001,1.7083333333333335,30.57377049180328,30.0,50.0,0.30573770491803276,0.3,0.5,0.2926829268292683,20.0,20.0,20,60.0,205.0
Curie,biophoenix_2,1,4.70811170212766,6.191489361702128,6.191489361702128,76.04166666666667,100.0,100.0,0.7604166666666666,1.0,1.0,0.16151202749140894,2.0,2.0,2,47.0,291.0
Curie,biophoenix_2,3,4.7564827127659575,5.417553191489361,6.191489361702128,76.82291666666667,87.49999999999999,100.0,0.7682291666666666,0.875,1.0,0.16151202749140894,8.0,8.0,8,47.0,291.0
Curie,biophoenix_2,5,4.293503039513678,4.864741641337385,6.191489361702128,69.34523809523809,78.57142857142856,100.0,0.6934523809523809,0.7857142857142857,1.0,0.16151202749140894,14.0,14.0,14,47.0,291.0
Curie,biophoenix_2,10,3.4560253118121786,4.056493030080704,5.5509904622157,55.818965517241374,65.51724137931035,89.6551724137931,0.5581896551724138,0.6551724137931034,0.896551724137931,0.16151202749140894,29.0,29.0,29,47.0,291.0
Curie,biophoenix_3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546393,2.0,2.0,2,9.0,291.0
Curie,biophoenix_3,3,1.2125,0.0,4.041666666666666,3.75,0.0,12.5,0.0375,0.0,0.125,0.030927835051546393,8.0,8.0,8,9.0,291.0
Curie,biophoenix_3,5,1.3857142857142857,1.1547619047619047,4.619047619047619,6.666666666666666,5.5555555555555545,22.222222222222218,0.04285714285714286,0.03571428571428571,0.14285714285714285,0.030927835051546393,14.0,14.0,14,9.0,291.0
Curie,biophoenix_3,10,1.0034482758620689,1.114942528735632,2.229885057471264,9.999999999999998,11.111111111111109,22.222222222222218,0.03103448275862069,0.034482758620689655,0.06896551724137931,0.030927835051546393,29.0,29.0,29,9.0,291.0
Curie,biophoenix_4,1,3.8832067017338785,5.775862068965517,5.775862068965517,67.2316384180791,100.0,100.0,0.6723163841807909,1.0,1.0,0.17313432835820897,3.0,3.0,3,58.0,335.0
Curie,biophoenix_4,3,3.563413208649912,4.043103448275861,5.775862068965517,61.69491525423729,69.99999999999999,100.0,0.6169491525423728,0.7,1.0,0.17313432835820897,10.0,10.0,10,58.0,335.0
Curie,biophoenix_4,5,3.4691883401519577,4.331896551724138,5.414870689655172,60.063559322033896,75.0,93.74999999999999,0.600635593220339,0.75,0.9375,0.17313432835820897,16.0,16.0,16,58.0,335.0
Curie,biophoenix_4,10,3.1030055080318086,3.6755485893416924,4.90073145245559,53.72367745249101,63.63636363636363,84.84848484848484,0.5372367745249101,0.6363636363636364,0.8484848484848485,0.17313432835820897,33.0,33.0,33,58.0,335.0
Curie,biophoenix_5,1,7.5727969348659006,11.551724137931034,11.551724137931034,65.55555555555556,100.0,100.0,0.6555555555555556,1.0,1.0,0.08656716417910447,3.0,3.0,3,29.0,335.0
Curie,biophoenix_5,3,6.661494252873563,7.508620689655171,11.551724137931034,57.666666666666664,65.0,100.0,0.5766666666666667,0.6499999999999999,1.0,0.08656716417910447,10.0,10.0,10,29.0,335.0
Curie,biophoenix_5,5,5.920258620689655,7.219827586206896,10.107758620689655,51.25,62.5,87.5,0.5125,0.625,0.875,0.08656716417910447,16.0,16.0,16,29.0,335.0
Curie,biophoenix_5,10,4.515673981191222,5.425809822361546,6.650992685475444,44.48275862068965,53.44827586206897,65.51724137931035,0.3909090909090909,0.4696969696969697,0.5757575757575758,0.08656716417910447,33.0,33.0,33,29.0,335.0
Curie,biophoenix_6,1,3.8496071829405163,4.320987654320987,6.481481481481482,59.39393939393939,66.66666666666666,100.0,0.5939393939393939,0.6666666666666666,1.0,0.15428571428571428,3.0,3.0,3,54.0,350.0
Curie,biophoenix_6,3,3.3585858585858586,4.537037037037037,6.481481481481482,51.81818181818182,70.0,100.0,0.5181818181818182,0.7,1.0,0.15428571428571428,10.0,10.0,10,54.0,350.0
Curie,biophoenix_6,5,3.154089918795801,3.431372549019608,5.718954248366013,48.663101604278076,52.94117647058824,88.23529411764706,0.48663101604278075,0.5294117647058824,0.8823529411764706,0.15428571428571428,17.0,17.0,17,54.0,350.0
Curie,biophoenix_6,10,2.6969696969696972,2.9629629629629632,5.185185185185186,41.61038961038961,45.714285714285715,80.0,0.4161038961038961,0.45714285714285713,0.8,0.15428571428571428,35.0,35.0,35,54.0,350.0
Curie,biophoenix_7,1,6.130718954248366,6.222222222222222,9.333333333333334,65.68627450980391,66.66666666666666,100.0,0.6568627450980392,0.6666666666666666,1.0,0.10714285714285714,3.0,3.0,3,33.0,308.0
Curie,biophoenix_7,3,5.79520697167756,7.2592592592592595,9.333333333333334,62.09150326797385,77.77777777777779,100.0,0.6209150326797386,0.7777777777777778,1.0,0.10714285714285714,9.0,9.0,9,33.0,308.0
Curie,biophoenix_7,5,5.636601307189544,6.533333333333333,8.711111111111112,60.392156862745104,70.0,93.33333333333333,0.603921568627451,0.7,0.9333333333333333,0.10714285714285714,15.0,15.0,15,33.0,308.0
Curie,biophoenix_7,10,4.7215686274509805,5.755555555555556,6.844444444444444,50.588235294117645,61.666666666666664,73.33333333333333,0.5058823529411764,0.6166666666666667,0.7333333333333333,0.10714285714285714,30.0,30.0,30,33.0,308.0
Curie,biophoenix_8,1,7.6437246963562755,6.210526315789474,12.421052631578949,61.53846153846154,50.0,100.0,0.6153846153846154,0.5,1.0,0.08050847457627118,4.0,4.0,4,38.0,472.0
Curie,biophoenix_8,3,6.574513206092154,7.097744360902256,10.646616541353383,52.93040293040293,57.14285714285714,85.71428571428571,0.5293040293040293,0.5714285714285714,0.8571428571428571,0.08050847457627118,14.0,14.0,14,38.0,472.0
Curie,biophoenix_8,5,6.203602652115238,7.560640732265448,10.260869565217392,49.944258639910814,60.86956521739131,82.6086956521739,0.49944258639910816,0.6086956521739131,0.8260869565217391,0.08050847457627118,23.0,23.0,23,38.0,472.0
Curie,biophoenix_8,10,5.211014442817355,6.342665173572229,7.135498320268758,51.889338731444006,63.15789473684211,71.05263157894738,0.41953082378614287,0.5106382978723404,0.574468085106383,0.08050847457627118,47.0,47.0,47,38.0,472.0
Curie,biophoenix_9,1,1.4793103448275862,0.0,3.413793103448276,43.333333333333336,0.0,100.0,0.43333333333333335,0.0,1.0,0.29292929292929293,1.0,1.0,1,29.0,99.0
Curie,biophoenix_9,3,1.4793103448275862,1.706896551724138,3.413793103448276,43.333333333333336,50.0,100.0,0.43333333333333335,0.5,1.0,0.29292929292929293,2.0,2.0,2,29.0,99.0
Curie,biophoenix_9,5,1.2232758620689657,0.853448275862069,2.560344827586207,35.833333333333336,25.0,75.0,0.35833333333333334,0.25,0.75,0.29292929292929293,4.0,4.0,4,29.0,99.0
Curie,biophoenix_9,10,1.2390804597701148,1.1379310344827585,2.275862068965517,36.2962962962963,33.33333333333333,66.66666666666666,0.362962962962963,0.3333333333333333,0.6666666666666666,0.29292929292929293,9.0,9.0,9,29.0,99.0
Curie,biophoenix_10,1,1.8302521008403363,2.911764705882353,2.911764705882353,62.857142857142854,100.0,100.0,0.6285714285714286,1.0,1.0,0.3434343434343434,1.0,1.0,1,34.0,99.0
Curie,biophoenix_10,3,1.7886554621848738,1.4558823529411764,2.911764705882353,61.42857142857143,50.0,100.0,0.6142857142857143,0.5,1.0,0.3434343434343434,2.0,2.0,2,34.0,99.0
Curie,biophoenix_10,5,1.9758403361344539,2.183823529411765,2.911764705882353,67.85714285714286,75.00000000000001,100.0,0.6785714285714286,0.75,1.0,0.3434343434343434,4.0,4.0,4,34.0,99.0
Curie,biophoenix_10,10,1.7470588235294118,1.9411764705882353,2.588235294117647,60.0,66.66666666666667,88.8888888888889,0.6,0.6666666666666666,0.8888888888888888,0.3434343434343434,9.0,9.0,9,34.0,99.0
Curie,biophoenix_11,1,2.357142857142857,0.0,16.5,14.285714285714286,0.0,100.0,0.14285714285714285,0.0,1.0,0.06060606060606061,1.0,1.0,1,6.0,99.0
Curie,biophoenix_11,3,3.5357142857142856,0.0,16.5,21.428571428571427,0.0,100.0,0.21428571428571427,0.0,1.0,0.06060606060606061,2.0,2.0,2,6.0,99.0
Curie,biophoenix_11,5,2.357142857142857,0.0,8.25,14.285714285714286,0.0,50.0,0.14285714285714285,0.0,0.5,0.06060606060606061,4.0,4.0,4,6.0,99.0
Curie,biophoenix_11,10,1.8333333333333333,1.8333333333333333,3.6666666666666665,16.666666666666668,16.666666666666668,33.333333333333336,0.11111111111111109,0.1111111111111111,0.2222222222222222,0.06060606060606061,9.0,9.0,9,6.0,99.0
Curie,biophoenix_12,1,2.798076923076923,3.730769230769231,7.461538461538462,37.5,50.0,100.0,0.375,0.5,1.0,0.13402061855670103,2.0,2.0,2,39.0,291.0
Curie,biophoenix_12,3,2.518269230769231,1.8653846153846154,7.461538461538462,33.75,25.0,100.0,0.3375,0.25,1.0,0.13402061855670103,8.0,8.0,8,39.0,291.0
Curie,biophoenix_12,5,2.038598901098901,1.8653846153846154,4.796703296703297,27.321428571428573,25.0,64.28571428571429,0.27321428571428574,0.25,0.6428571428571429,0.13402061855670103,14.0,14.0,14,39.0,291.0
Curie,biophoenix_12,10,1.3958222811671086,1.1578249336870026,2.830238726790451,18.706896551724135,15.517241379310345,37.93103448275862,0.18706896551724136,0.15517241379310345,0.3793103448275862,0.13402061855670103,29.0,29.0,29,39.0,291.0
Curie,biophoenix_13,1,6.16,9.333333333333334,9.333333333333334,66.0,100.0,100.0,0.66,1.0,1.0,0.10714285714285714,2.0,2.0,2,24.0,224.0
Curie,biophoenix_13,3,4.977777777777778,6.222222222222222,9.333333333333334,53.33333333333333,66.66666666666666,100.0,0.5333333333333333,0.6666666666666666,1.0,0.10714285714285714,6.0,6.0,6,24.0,224.0
Curie,biophoenix_13,5,4.615757575757576,5.090909090909091,8.484848484848484,49.45454545454546,54.54545454545454,90.90909090909089,0.4945454545454545,0.5454545454545454,0.9090909090909091,0.10714285714285714,11.0,11.0,11,24.0,224.0
