Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Lit-PCBA,ALDH1,1,1.0932139794168096,0.7725378787878788,4.248958333333333,7.0754716981132075,5.0,27.500000000000004,0.07075471698113207,0.05,0.275,0.06472174552586418,40.0,40.0,40,264.0,4079.0
Lit-PCBA,ALDH1,3,1.030847017968113,0.8865188772975658,2.406265524093393,6.671821837302814,5.737704918032787,15.573770491803279,0.06671821837302815,0.05737704918032787,0.1557377049180328,0.06472174552586418,122.0,122.0,122,264.0,4079.0
Lit-PCBA,ALDH1,5,1.0061158804327315,0.9133452754142409,2.131138975966562,6.511757598289804,5.911330049261084,13.793103448275861,0.06511757598289805,0.059113300492610835,0.13793103448275862,0.06472174552586418,203.0,203.0,203,264.0,4079.0
Lit-PCBA,ALDH1,10,0.9569427528261147,0.9111011838284566,1.7462772690045418,9.548313321898226,9.09090909090909,17.424242424242422,0.061935005331231745,0.05896805896805897,0.11302211302211303,0.06472174552586418,407.0,407.0,407,264.0,4079.0
Lit-PCBA,ESR1-ant,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,1.0,1.0,1,11.0,187.0
Lit-PCBA,ESR1-ant,3,1.4166666666666667,0.0,6.800000000000001,8.333333333333334,0.0,40.0,0.08333333333333333,0.0,0.4,0.0588235294117647,5.0,5.0,5,11.0,187.0
Lit-PCBA,ESR1-ant,5,1.4166666666666667,1.8888888888888888,5.666666666666666,8.333333333333332,11.11111111111111,33.33333333333333,0.08333333333333333,0.1111111111111111,0.3333333333333333,0.0588235294117647,9.0,9.0,9,11.0,187.0
Lit-PCBA,ESR1-ant,10,1.1018518518518519,0.9444444444444444,3.7777777777777777,10.606060606060606,9.09090909090909,36.36363636363636,0.06481481481481481,0.05555555555555555,0.2222222222222222,0.0588235294117647,18.0,18.0,18,11.0,187.0
Lit-PCBA,MAPK1,1,0.6579220779220779,0.0,4.824761904761905,0.6493506493506493,0.0,4.761904761904762,0.005454545454545454,0.0,0.04,0.008290564547966837,25.0,25.0,25,21.0,2533.0
Lit-PCBA,MAPK1,3,0.8772294372294372,0.0,3.216507936507937,2.5974025974025974,0.0,9.523809523809524,0.007272727272727273,0.0,0.02666666666666667,0.008290564547966837,75.0,75.0,75,21.0,2533.0
Lit-PCBA,MAPK1,5,1.1313474884903456,0.9572940287226002,3.8291761148904007,5.627705627705628,4.761904761904762,19.047619047619047,0.009379509379509378,0.007936507936507936,0.031746031746031744,0.008290564547966837,126.0,126.0,126,21.0,2533.0
Lit-PCBA,MAPK1,10,1.083534383929641,0.953510257858084,2.38377564464521,10.822510822510822,9.523809523809524,23.809523809523807,0.008983111749910169,0.007905138339920948,0.019762845849802372,0.008290564547966837,253.0,253.0,253,21.0,2533.0
Lit-PCBA,PKM2,1,1.3774888769682243,0.0,6.993405067684831,1.3742071881606766,0.0,6.976744186046512,0.008819538670284939,0.0,0.04477611940298507,0.006402620607504467,67.0,67.0,67,43.0,6716.0
Lit-PCBA,PKM2,3,1.236207966509945,0.7770450075205368,3.8852250376026842,3.6997885835095143,2.3255813953488373,11.627906976744187,0.007914970601537764,0.004975124378109453,0.024875621890547265,0.006402620607504467,201.0,201.0,201,43.0,6716.0
Lit-PCBA,PKM2,5,1.1443753747120633,0.9324540090246441,2.7973620270739326,5.708245243128965,4.651162790697675,13.953488372093023,0.007327001356852103,0.005970149253731343,0.01791044776119403,0.006402620607504467,335.0,335.0,335,43.0,6716.0
Lit-PCBA,PKM2,10,0.9786756064439494,0.9310643607250545,2.5604269919939,9.778012684989429,9.302325581395348,25.581395348837212,0.006266088605879961,0.005961251862891207,0.01639344262295082,0.006402620607504467,671.0,671.0,671,43.0,6716.0
Lit-PCBA,VDR,1,9.86456862745098,8.359803921568627,33.43921568627451,9.833333333333332,8.333333333333332,33.33333333333333,0.02776470588235294,0.023529411764705882,0.09411764705882353,0.0028145889527383607,85.0,85.0,85,24.0,8527.0
Lit-PCBA,VDR,3,5.183078431372548,4.1799019607843135,11.14640522875817,15.499999999999998,12.5,33.33333333333333,0.014588235294117647,0.011764705882352941,0.03137254901960784,0.0028145889527383607,255.0,255.0,255,24.0,8527.0
Lit-PCBA,VDR,5,3.5362363067292644,2.5020539906103285,6.672143974960876,17.666666666666664,12.5,33.33333333333333,0.009953051643192488,0.007042253521126761,0.018779342723004695,0.0028145889527383607,426.0,426.0,426,24.0,8527.0
Lit-PCBA,VDR,10,2.1350860719874802,2.085044992175274,3.7530809859154926,21.333333333333336,20.833333333333336,37.5,0.006009389671361502,0.005868544600938967,0.01056338028169014,0.0028145889527383607,852.0,852.0,852,24.0,8527.0
