Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
ChEMBL,CHEMBL1613792_val,1,0.9482758620689655,0.0,3.928571428571429,24.137931034482758,0.0,100.0,0.2413793103448276,0.0,1.0,0.2545454545454545,1.0,1.0,1,28.0,110.0
ChEMBL,CHEMBL1613792_val,3,0.993431855500821,1.3095238095238095,3.928571428571429,25.287356321839077,33.33333333333333,100.0,0.2528735632183908,0.3333333333333333,1.0,0.2545454545454545,3.0,3.0,3,28.0,110.0
ChEMBL,CHEMBL1613792_val,5,1.2733990147783252,1.5714285714285716,3.928571428571429,32.41379310344828,40.0,100.0,0.3241379310344828,0.4,1.0,0.2545454545454545,5.0,5.0,5,28.0,110.0
ChEMBL,CHEMBL1613792_val,10,1.2315270935960592,1.0714285714285714,2.5,31.34796238244514,27.27272727272727,63.63636363636363,0.3134796238244514,0.2727272727272727,0.6363636363636364,0.2545454545454545,11.0,11.0,11,28.0,110.0
ChEMBL,CHEMBL1613800_val,1,1.906116642958748,0.0,6.036036036036036,21.052631578947366,0.0,66.66666666666666,0.21052631578947367,0.0,0.6666666666666666,0.11044776119402987,3.0,3.0,3,37.0,335.0
ChEMBL,CHEMBL1613800_val,3,1.5010668563300142,0.9054054054054055,4.527027027027027,16.57894736842105,10.0,50.0,0.16578947368421051,0.1,0.5,0.11044776119402987,10.0,10.0,10,37.0,335.0
ChEMBL,CHEMBL1613800_val,5,1.3402382645803699,1.1317567567567568,3.9611486486486487,14.802631578947368,12.5,43.75,0.14802631578947367,0.125,0.4375,0.11044776119402987,16.0,16.0,16,37.0,335.0
ChEMBL,CHEMBL1613800_val,10,1.292404845036424,1.0974610974610974,2.743652743652744,14.27432216905901,12.12121212121212,30.303030303030305,0.14274322169059012,0.12121212121212122,0.30303030303030304,0.11044776119402987,33.0,33.0,33,37.0,335.0
ChEMBL,CHEMBL1613808_val,1,1.7163580246913581,1.675,3.35,51.23456790123457,50.0,100.0,0.5123456790123457,0.5,1.0,0.29850746268656714,2.0,2.0,2,80.0,268.0
ChEMBL,CHEMBL1613808_val,3,1.509567901234568,1.25625,2.9312500000000004,45.06172839506173,37.5,87.50000000000001,0.4506172839506173,0.375,0.875,0.29850746268656714,8.0,8.0,8,80.0,268.0
ChEMBL,CHEMBL1613808_val,5,1.5079772079772082,1.5461538461538464,2.8346153846153848,45.01424501424502,46.15384615384616,84.61538461538461,0.45014245014245013,0.46153846153846156,0.8461538461538461,0.29850746268656714,13.0,13.0,13,80.0,268.0
ChEMBL,CHEMBL1613808_val,10,1.4157169990503324,1.5461538461538464,2.3192307692307694,42.2602089268756,46.15384615384616,69.23076923076924,0.422602089268756,0.46153846153846156,0.6923076923076923,0.29850746268656714,26.0,26.0,26,80.0,268.0
ChEMBL,CHEMBL1613842_val,1,0.9993177472424667,1.0092777247897338,2.18676840371109,31.26731301939058,31.57894736842105,68.42105263157896,0.3126731301939058,0.3157894736842105,0.6842105263157895,0.31288659793814433,19.0,19.0,19,607.0,1940.0
ChEMBL,CHEMBL1613842_val,3,1.0158938593002986,0.9918763847071522,1.7082315514400954,31.785957350272234,31.03448275862069,53.44827586206896,0.3178595735027223,0.3103448275862069,0.5344827586206896,0.31288659793814433,58.0,58.0,58,607.0,1940.0
ChEMBL,CHEMBL1613842_val,5,1.0282992283013959,1.0214168039538714,1.5485996705107083,32.1741047205643,31.958762886597935,48.45360824742268,0.32174104720564295,0.31958762886597936,0.4845360824742268,0.31288659793814433,97.0,97.0,97,607.0,1940.0
ChEMBL,CHEMBL1613842_val,10,1.0298979016734586,1.029654036243822,1.4662273476112027,32.2241250678242,32.21649484536082,45.876288659793815,0.322241250678242,0.3221649484536082,0.4587628865979381,0.31288659793814433,194.0,194.0,194,607.0,1940.0
ChEMBL,CHEMBL1613996_val,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012269938650306749,3.0,3.0,3,4.0,326.0
ChEMBL,CHEMBL1613996_val,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012269938650306749,9.0,9.0,9,4.0,326.0
ChEMBL,CHEMBL1613996_val,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012269938650306749,16.0,16.0,16,4.0,326.0
ChEMBL,CHEMBL1613996_val,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012269938650306749,32.0,32.0,32,4.0,326.0
ChEMBL,CHEMBL1614108_val,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658008658008658,2.0,2.0,2,2.0,231.0
ChEMBL,CHEMBL1614108_val,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008658008658008658,6.0,6.0,6,2.0,231.0
ChEMBL,CHEMBL1614108_val,5,10.5,10.5,10.5,50.0,50.0,50.0,0.0909090909090909,0.09090909090909091,0.09090909090909091,0.008658008658008658,11.0,11.0,11,2.0,231.0
ChEMBL,CHEMBL1614108_val,10,8.369565217391303,10.043478260869565,10.043478260869565,83.33333333333333,100.0,100.0,0.07246376811594203,0.08695652173913043,0.08695652173913043,0.008658008658008658,23.0,23.0,23,2.0,231.0
ChEMBL,CHEMBL1614166_val,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027491408934707903,2.0,2.0,2,8.0,291.0
ChEMBL,CHEMBL1614166_val,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027491408934707903,8.0,8.0,8,8.0,291.0
ChEMBL,CHEMBL1614166_val,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027491408934707903,14.0,14.0,14,8.0,291.0
ChEMBL,CHEMBL1614166_val,10,1.3936781609195403,1.2543103448275863,2.5086206896551726,13.88888888888889,12.5,25.0,0.03831417624521073,0.034482758620689655,0.06896551724137931,0.027491408934707903,29.0,29.0,29,8.0,291.0
ChEMBL,CHEMBL1614211_val,1,2.099475218658892,2.0583090379008744,8.233236151603498,7.285714285714286,7.142857142857142,28.57142857142857,0.07285714285714286,0.07142857142857142,0.2857142857142857,0.034702549575070823,14.0,14.0,14,49.0,1412.0
ChEMBL,CHEMBL1614211_val,3,1.687813411078717,2.0583090379008744,4.802721088435374,5.857142857142857,7.142857142857142,16.666666666666664,0.058571428571428566,0.07142857142857142,0.16666666666666666,0.034702549575070823,42.0,42.0,42,49.0,1412.0
ChEMBL,CHEMBL1614211_val,5,1.4984489795918368,1.4408163265306122,3.704956268221574,7.428571428571429,7.142857142857144,18.367346938775512,0.052000000000000005,0.05,0.12857142857142856,0.034702549575070823,70.0,70.0,70,49.0,1412.0
ChEMBL,CHEMBL1614211_val,10,1.3324996381531335,1.2262266608771166,2.6568244319004193,13.30612244897959,12.244897959183671,26.530612244897956,0.04624113475177305,0.0425531914893617,0.09219858156028368,0.034702549575070823,141.0,141.0,141,49.0,1412.0
