Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
ChEMBL,CHEMBL1613792_val,1,0.6773399014778326,0.0,3.928571428571429,17.24137931034483,0.0,100.0,0.1724137931034483,0.0,1.0,0.2545454545454545,1.0,1.0,1,28.0,110.0
ChEMBL,CHEMBL1613792_val,3,0.5870279146141215,0.0,2.619047619047619,14.942528735632182,0.0,66.66666666666666,0.14942528735632182,0.0,0.6666666666666666,0.2545454545454545,3.0,3.0,3,28.0,110.0
ChEMBL,CHEMBL1613792_val,5,0.7586206896551725,0.7857142857142858,2.357142857142857,19.310344827586206,20.0,60.0,0.1931034482758621,0.2,0.6,0.2545454545454545,5.0,5.0,5,28.0,110.0
ChEMBL,CHEMBL1613792_val,10,0.9852216748768473,1.0714285714285714,1.7857142857142858,25.078369905956112,27.27272727272727,45.45454545454545,0.2507836990595611,0.2727272727272727,0.45454545454545453,0.2545454545454545,11.0,11.0,11,28.0,110.0
ChEMBL,CHEMBL1613800_val,1,1.429587482219061,0.0,9.054054054054054,15.789473684210524,0.0,100.0,0.15789473684210525,0.0,1.0,0.11044776119402987,3.0,3.0,3,37.0,335.0
ChEMBL,CHEMBL1613800_val,3,1.5248933143669987,0.9054054054054055,4.527027027027027,16.842105263157894,10.0,50.0,0.16842105263157894,0.1,0.5,0.11044776119402987,10.0,10.0,10,37.0,335.0
ChEMBL,CHEMBL1613800_val,5,1.5040451635846372,1.697635135135135,4.527027027027027,16.611842105263158,18.75,50.0,0.16611842105263158,0.1875,0.5,0.11044776119402987,16.0,16.0,16,37.0,335.0
ChEMBL,CHEMBL1613800_val,10,1.2346437346437347,1.2346437346437347,2.743652743652744,13.636363636363635,13.636363636363637,30.303030303030305,0.13636363636363635,0.13636363636363635,0.30303030303030304,0.11044776119402987,33.0,33.0,33,37.0,335.0
ChEMBL,CHEMBL1613808_val,1,1.8611111111111112,1.675,3.35,55.55555555555556,50.0,100.0,0.5555555555555556,0.5,1.0,0.29850746268656714,2.0,2.0,2,80.0,268.0
ChEMBL,CHEMBL1613808_val,3,1.5974537037037038,1.675,2.9312500000000004,47.68518518518518,50.0,87.50000000000001,0.47685185185185186,0.5,0.875,0.29850746268656714,8.0,8.0,8,80.0,268.0
ChEMBL,CHEMBL1613808_val,5,1.4729819563152897,1.5461538461538464,2.576923076923077,43.96961063627731,46.15384615384616,76.92307692307693,0.439696106362773,0.46153846153846156,0.7692307692307693,0.29850746268656714,13.0,13.0,13,80.0,268.0
ChEMBL,CHEMBL1613808_val,10,1.3552706552706553,1.2884615384615385,2.1903846153846156,40.45584045584046,38.46153846153847,65.38461538461539,0.4045584045584045,0.38461538461538464,0.6538461538461539,0.29850746268656714,26.0,26.0,26,80.0,268.0
ChEMBL,CHEMBL1613842_val,1,0.9113379455749405,0.8410647706581115,2.0185554495794675,28.514542936288088,26.31578947368421,63.1578947368421,0.28514542936288084,0.2631578947368421,0.631578947368421,0.31288659793814433,19.0,19.0,19,607.0,1940.0
ChEMBL,CHEMBL1613842_val,3,0.9449290192760206,0.9367721411123103,1.5980230642504119,29.565562613430128,29.310344827586203,50.0,0.2956556261343013,0.29310344827586204,0.5,0.31288659793814433,58.0,58.0,58,607.0,1940.0
