Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Lit-PCBA,ALDH1,1,1.2098234705546025,1.158806818181818,3.862689393939394,7.830188679245283,7.5,25.0,0.07830188679245283,0.075,0.25,0.06472174552586418,40.0,40.0,40,264.0,4079.0
Lit-PCBA,ALDH1,3,1.1135250588158103,1.013164431197218,2.532911077993045,7.206928549334982,6.557377049180328,16.393442622950815,0.07206928549334983,0.06557377049180328,0.16393442622950818,0.06472174552586418,122.0,122.0,122,264.0,4079.0
Lit-PCBA,ALDH1,5,1.0543680836621632,0.9894573816987611,2.4355874011046423,6.824054280137559,6.403940886699508,15.763546798029553,0.0682405428013756,0.06403940886699508,0.15763546798029557,0.06472174552586418,203.0,203.0,203,264.0,4079.0
Lit-PCBA,ALDH1,10,1.0145312238794228,0.9870262824808279,1.9360900156354703,10.12292738707833,9.848484848484846,19.318181818181817,0.06566223169996754,0.06388206388206388,0.12530712530712532,0.06472174552586418,407.0,407.0,407,264.0,4079.0
Lit-PCBA,ESR1-ant,1,2.8333333333333335,0.0,17.0,16.666666666666668,0.0,100.0,0.16666666666666666,0.0,1.0,0.0588235294117647,1.0,1.0,1,11.0,187.0
Lit-PCBA,ESR1-ant,3,1.9833333333333336,1.7000000000000002,6.800000000000001,11.666666666666666,10.0,40.0,0.11666666666666668,0.1,0.4,0.0588235294117647,5.0,5.0,5,11.0,187.0
Lit-PCBA,ESR1-ant,5,1.8888888888888886,1.8888888888888888,5.666666666666666,11.111111111111109,11.11111111111111,33.33333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0588235294117647,9.0,9.0,9,11.0,187.0
Lit-PCBA,ESR1-ant,10,1.7314814814814816,1.4166666666666665,3.7777777777777777,16.666666666666664,13.636363636363635,36.36363636363636,0.10185185185185185,0.08333333333333333,0.2222222222222222,0.0588235294117647,18.0,18.0,18,11.0,187.0
Lit-PCBA,MAPK1,1,1.7544588744588745,0.0,9.64952380952381,1.7316017316017316,0.0,9.523809523809524,0.014545454545454545,0.0,0.08,0.008290564547966837,25.0,25.0,25,21.0,2533.0
Lit-PCBA,MAPK1,3,1.5351515151515154,1.6082539682539685,4.824761904761905,4.545454545454546,4.761904761904762,14.285714285714283,0.012727272727272728,0.013333333333333334,0.04,0.008290564547966837,75.0,75.0,75,21.0,2533.0
Lit-PCBA,MAPK1,5,1.5664811379097094,1.9145880574452003,4.786470143613001,7.792207792207791,9.523809523809524,23.809523809523807,0.012987012987012986,0.015873015873015872,0.03968253968253968,0.008290564547966837,126.0,126.0,126,21.0,2533.0
Lit-PCBA,MAPK1,10,1.3002412607155691,0.953510257858084,3.814041031432336,12.987012987012987,9.523809523809524,38.095238095238095,0.010779734099892203,0.007905138339920948,0.03162055335968379,0.008290564547966837,253.0,253.0,253,21.0,2533.0
Lit-PCBA,PKM2,1,2.013252974030482,0.0,9.324540090246442,2.0084566596194504,0.0,9.30232558139535,0.012890094979647217,0.0,0.05970149253731343,0.006402620607504467,67.0,67.0,67,43.0,6716.0
Lit-PCBA,PKM2,3,1.4304692183900791,1.1655675112808053,5.4393150526437575,4.281183932346724,3.488372093023256,16.27906976744186,0.009158751696065129,0.007462686567164179,0.03482587064676617,0.006402620607504467,201.0,201.0,201,43.0,6716.0
Lit-PCBA,PKM2,5,1.2185478527026599,0.9324540090246441,3.2635890315862546,6.078224101479916,4.651162790697675,16.27906976744186,0.007801899592944369,0.005970149253731343,0.020895522388059702,0.006402620607504467,335.0,335.0,335,43.0,6716.0
Lit-PCBA,PKM2,10,1.1797008661459498,1.0474474058156864,3.025959172356427,11.786469344608879,10.465116279069766,30.23255813953488,0.007553177076276927,0.006706408345752608,0.019374068554396422,0.006402620607504467,671.0,671.0,671,43.0,6716.0
Lit-PCBA,VDR,1,10.700549019607843,4.1799019607843135,33.43921568627451,10.666666666666668,4.166666666666666,33.33333333333333,0.03011764705882353,0.011764705882352941,0.09411764705882353,0.0028145889527383607,85.0,85.0,85,24.0,8527.0
Lit-PCBA,VDR,3,5.183078431372548,2.7866013071895424,11.14640522875817,15.499999999999998,8.333333333333332,33.33333333333333,0.014588235294117647,0.00784313725490196,0.03137254901960784,0.0028145889527383607,255.0,255.0,255,24.0,8527.0
Lit-PCBA,VDR,5,3.7697613458528947,3.336071987480438,7.506161971830985,18.83333333333333,16.666666666666664,37.5,0.010610328638497653,0.009389671361502348,0.02112676056338028,0.0028145889527383607,426.0,426.0,426,24.0,8527.0
Lit-PCBA,VDR,10,2.468693270735524,2.5020539906103285,4.170089984350548,24.666666666666664,25.0,41.66666666666667,0.006948356807511737,0.007042253521126761,0.011737089201877934,0.0028145889527383607,852.0,852.0,852,24.0,8527.0
