Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Lit-PCBA,ALDH1,1,1.147145869068039,1.158806818181818,3.862689393939394,7.4245283018867925,7.5,25.0,0.07424528301886793,0.075,0.25,0.06472174552586418,40.0,40.0,40,264.0,4079.0
Lit-PCBA,ALDH1,3,1.0963203797954804,1.013164431197218,2.532911077993045,7.095576863594184,6.557377049180328,16.393442622950815,0.07095576863594184,0.06557377049180328,0.16393442622950818,0.06472174552586418,122.0,122.0,122,264.0,4079.0
Lit-PCBA,ALDH1,5,1.0750475993319195,0.9894573816987611,2.2072510822510822,6.957895715215169,6.403940886699508,14.285714285714285,0.06957895715215168,0.06403940886699508,0.14285714285714285,0.06472174552586418,203.0,203.0,203,264.0,4079.0
Lit-PCBA,ALDH1,10,1.0149609885887758,0.9870262824808279,1.7842398183307273,10.127215551743852,9.848484848484846,17.803030303030297,0.06569004682212229,0.06388206388206388,0.11547911547911548,0.06472174552586418,407.0,407.0,407,264.0,4079.0
Lit-PCBA,ESR1-ant,1,2.8333333333333335,0.0,17.0,16.666666666666668,0.0,100.0,0.16666666666666666,0.0,1.0,0.0588235294117647,1.0,1.0,1,11.0,187.0
Lit-PCBA,ESR1-ant,3,2.5500000000000003,0.0,6.800000000000001,15.0,0.0,40.0,0.15,0.0,0.4,0.0588235294117647,5.0,5.0,5,11.0,187.0
Lit-PCBA,ESR1-ant,5,2.0462962962962963,1.8888888888888888,5.666666666666666,12.037037037037036,11.11111111111111,33.33333333333333,0.12037037037037036,0.1111111111111111,0.3333333333333333,0.0588235294117647,9.0,9.0,9,11.0,187.0
Lit-PCBA,ESR1-ant,10,1.9675925925925926,0.9444444444444444,4.722222222222222,18.939393939393938,9.09090909090909,45.45454545454545,0.11574074074074074,0.05555555555555555,0.2777777777777778,0.0588235294117647,18.0,18.0,18,11.0,187.0
Lit-PCBA,MAPK1,1,0.8772294372294372,0.0,4.824761904761905,0.8658008658008658,0.0,4.761904761904762,0.007272727272727273,0.0,0.04,0.008290564547966837,25.0,25.0,25,21.0,2533.0
Lit-PCBA,MAPK1,3,1.1696392496392498,1.6082539682539685,3.216507936507937,3.463203463203463,4.761904761904762,9.523809523809524,0.009696969696969697,0.013333333333333334,0.02666666666666667,0.008290564547966837,75.0,75.0,75,21.0,2533.0
Lit-PCBA,MAPK1,5,1.0008073936645365,0.9572940287226002,2.8718820861678007,4.978354978354978,4.761904761904762,14.285714285714285,0.008297258297258296,0.007936507936507936,0.023809523809523808,0.008290564547966837,126.0,126.0,126,21.0,2533.0
Lit-PCBA,MAPK1,10,1.4085946991085332,1.430265386787126,2.38377564464521,14.069264069264069,14.285714285714285,23.809523809523807,0.01167804527488322,0.011857707509881422,0.019762845849802372,0.008290564547966837,253.0,253.0,253,21.0,2533.0
Lit-PCBA,PKM2,1,1.483449559811934,0.0,9.324540090246442,1.4799154334038056,0.0,9.30232558139535,0.009497964721845319,0.0,0.05970149253731343,0.006402620607504467,67.0,67.0,67,43.0,6716.0
Lit-PCBA,PKM2,3,1.236207966509945,0.7770450075205368,4.662270045123221,3.6997885835095143,2.3255813953488373,13.953488372093027,0.007914970601537764,0.004975124378109453,0.029850746268656716,0.006402620607504467,201.0,201.0,201,43.0,6716.0
Lit-PCBA,PKM2,5,1.038414691868354,0.4662270045123221,3.2635890315862546,5.17970401691332,2.3255813953488373,16.27906976744186,0.006648575305291724,0.0029850746268656717,0.020895522388059702,0.006402620607504467,335.0,335.0,335,43.0,6716.0
Lit-PCBA,PKM2,10,1.0474474058156864,0.9310643607250545,2.7931930821751636,10.465116279069768,9.302325581395348,27.906976744186046,0.006706408345752608,0.005961251862891207,0.01788375558867362,0.006402620607504467,671.0,671.0,671,43.0,6716.0
Lit-PCBA,VDR,1,10.031764705882352,4.1799019607843135,29.259313725490195,10.0,4.166666666666666,29.166666666666668,0.028235294117647056,0.011764705882352941,0.08235294117647059,0.0028145889527383607,85.0,85.0,85,24.0,8527.0
Lit-PCBA,VDR,3,5.461738562091503,4.1799019607843135,11.14640522875817,16.33333333333333,12.5,33.33333333333333,0.015372549019607842,0.011764705882352941,0.03137254901960784,0.0028145889527383607,255.0,255.0,255,24.0,8527.0
Lit-PCBA,VDR,5,3.4695148669796554,2.5020539906103285,6.672143974960876,17.33333333333333,12.5,33.33333333333333,0.009765258215962441,0.007042253521126761,0.018779342723004695,0.0028145889527383607,426.0,426.0,426,24.0,8527.0
Lit-PCBA,VDR,10,2.301889671361502,2.085044992175274,4.170089984350548,23.0,20.833333333333336,41.66666666666667,0.00647887323943662,0.005868544600938967,0.011737089201877934,0.0028145889527383607,852.0,852.0,852,24.0,8527.0
