Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
ChEMBL,CHEMBL1613792_val,1,1.2192118226600988,0.0,3.928571428571429,31.03448275862069,0.0,100.0,0.3103448275862069,0.0,1.0,0.2545454545454545,1.0,1.0,1,28.0,110.0
ChEMBL,CHEMBL1613792_val,3,1.2192118226600988,1.3095238095238095,2.619047619047619,31.034482758620687,33.33333333333333,66.66666666666666,0.3103448275862069,0.3333333333333333,0.6666666666666666,0.2545454545454545,3.0,3.0,3,28.0,110.0
ChEMBL,CHEMBL1613792_val,5,1.2733990147783252,1.5714285714285716,3.1428571428571432,32.41379310344828,40.0,80.0,0.3241379310344828,0.4,0.8,0.2545454545454545,5.0,5.0,5,28.0,110.0
ChEMBL,CHEMBL1613792_val,10,1.1945812807881775,1.4285714285714288,2.142857142857143,30.40752351097179,36.36363636363637,54.54545454545454,0.3040752351097179,0.36363636363636365,0.5454545454545454,0.2545454545454545,11.0,11.0,11,28.0,110.0
ChEMBL,CHEMBL1613800_val,1,1.8266951161688003,3.018018018018018,6.036036036036036,20.175438596491222,33.33333333333333,66.66666666666666,0.20175438596491227,0.3333333333333333,0.6666666666666666,0.11044776119402987,3.0,3.0,3,37.0,335.0
ChEMBL,CHEMBL1613800_val,3,1.7155049786628735,1.810810810810811,3.621621621621622,18.94736842105263,20.0,40.0,0.18947368421052632,0.2,0.4,0.11044776119402987,10.0,10.0,10,37.0,335.0
ChEMBL,CHEMBL1613800_val,5,1.7423097439544808,1.697635135135135,3.9611486486486487,19.24342105263158,18.75,43.75,0.1924342105263158,0.1875,0.4375,0.11044776119402987,16.0,16.0,16,37.0,335.0
ChEMBL,CHEMBL1613800_val,10,1.3573860942281994,1.2346437346437347,2.743652743652744,14.992025518341306,13.636363636363637,30.303030303030305,0.1499202551834131,0.13636363636363635,0.30303030303030304,0.11044776119402987,33.0,33.0,33,37.0,335.0
ChEMBL,CHEMBL1613808_val,1,1.7783950617283952,1.675,3.35,53.08641975308642,50.0,100.0,0.5308641975308642,0.5,1.0,0.29850746268656714,2.0,2.0,2,80.0,268.0
ChEMBL,CHEMBL1613808_val,3,1.5250771604938271,1.675,2.9312500000000004,45.52469135802469,50.0,87.50000000000001,0.45524691358024694,0.5,0.875,0.29850746268656714,8.0,8.0,8,80.0,268.0
