Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Curie,biophoenix_1,1,0.8121584699453552,0.0,3.416666666666667,23.770491803278688,0.0,100.0,0.23770491803278687,0.0,1.0,0.2926829268292683,2.0,2.0,2,60.0,205.0
Curie,biophoenix_1,3,0.9615209471766849,1.1388888888888888,2.8472222222222223,28.142076502732237,33.33333333333333,83.33333333333333,0.2814207650273224,0.3333333333333333,0.8333333333333334,0.2926829268292683,6.0,6.0,6,60.0,205.0
Curie,biophoenix_1,5,1.0025956284153008,1.0250000000000001,2.0500000000000003,29.34426229508197,30.0,60.0,0.29344262295081963,0.3,0.6,0.2926829268292683,10.0,10.0,10,60.0,205.0
Curie,biophoenix_1,10,1.0390027322404372,1.0250000000000001,1.7083333333333335,30.40983606557377,30.0,50.0,0.3040983606557377,0.3,0.5,0.2926829268292683,20.0,20.0,20,60.0,205.0
Curie,biophoenix_2,1,5.2885638297872335,6.191489361702128,6.191489361702128,85.41666666666667,100.0,100.0,0.8541666666666666,1.0,1.0,0.16151202749140894,2.0,2.0,2,47.0,291.0
Curie,biophoenix_2,3,4.595246010638298,5.417553191489361,6.191489361702128,74.21875,87.49999999999999,100.0,0.7421875,0.875,1.0,0.16151202749140894,8.0,8.0,8,47.0,291.0
Curie,biophoenix_2,5,4.146086626139817,4.864741641337385,6.191489361702128,66.96428571428571,78.57142857142856,100.0,0.6696428571428572,0.7857142857142857,1.0,0.16151202749140894,14.0,14.0,14,47.0,291.0
Curie,biophoenix_2,10,3.4115462215700654,3.949743213499633,5.5509904622157,55.10057471264367,63.793103448275865,89.6551724137931,0.5510057471264368,0.6379310344827587,0.896551724137931,0.16151202749140894,29.0,29.0,29,47.0,291.0
Curie,biophoenix_3,1,4.85,0.0,16.166666666666664,15.0,0.0,50.0,0.15,0.0,0.5,0.030927835051546393,2.0,2.0,2,9.0,291.0
Curie,biophoenix_3,3,2.8291666666666666,4.041666666666666,4.041666666666666,8.75,12.5,12.5,0.0875,0.125,0.125,0.030927835051546393,8.0,8.0,8,9.0,291.0
Curie,biophoenix_3,5,2.5404761904761903,2.3095238095238093,6.928571428571428,12.22222222222222,11.111111111111109,33.33333333333333,0.07857142857142857,0.07142857142857142,0.21428571428571427,0.030927835051546393,14.0,14.0,14,9.0,291.0
