Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Curie,biophoenix_1,1,0.784153005464481,0.0,3.416666666666667,22.950819672131146,0.0,100.0,0.22950819672131148,0.0,1.0,0.2926829268292683,2.0,2.0,2,60.0,205.0
Curie,biophoenix_1,3,1.1295537340619306,1.1388888888888888,3.416666666666667,33.060109289617486,33.33333333333333,100.0,0.33060109289617484,0.3333333333333333,1.0,0.2926829268292683,6.0,6.0,6,60.0,205.0
Curie,biophoenix_1,5,1.0362021857923498,1.0250000000000001,2.0500000000000003,30.327868852459016,30.0,60.0,0.30327868852459017,0.3,0.6,0.2926829268292683,10.0,10.0,10,60.0,205.0
Curie,biophoenix_1,10,1.0081967213114755,1.0250000000000001,1.8791666666666669,29.508196721311474,30.0,55.00000000000001,0.29508196721311475,0.3,0.55,0.2926829268292683,20.0,20.0,20,60.0,205.0
Curie,biophoenix_2,1,5.0950797872340425,6.191489361702128,6.191489361702128,82.29166666666667,100.0,100.0,0.8229166666666666,1.0,1.0,0.16151202749140894,2.0,2.0,2,47.0,291.0
Curie,biophoenix_2,3,4.869348404255319,6.191489361702128,6.191489361702128,78.64583333333333,100.0,100.0,0.7864583333333334,1.0,1.0,0.16151202749140894,8.0,8.0,8,47.0,291.0
Curie,biophoenix_2,5,4.468560030395136,5.306990881458966,6.191489361702128,72.17261904761904,85.71428571428571,100.0,0.7217261904761906,0.8571428571428571,1.0,0.16151202749140894,14.0,14.0,14,47.0,291.0
Curie,biophoenix_2,10,3.536087674247982,4.056493030080704,5.764490095377843,57.11206896551724,65.51724137931035,93.10344827586206,0.5711206896551725,0.6551724137931034,0.9310344827586207,0.16151202749140894,29.0,29.0,29,47.0,291.0
Curie,biophoenix_3,1,4.85,0.0,16.166666666666664,15.0,0.0,50.0,0.15,0.0,0.5,0.030927835051546393,2.0,2.0,2,9.0,291.0
Curie,biophoenix_3,3,2.020833333333333,0.0,8.083333333333332,6.25,0.0,25.0,0.0625,0.0,0.25,0.030927835051546393,8.0,8.0,8,9.0,291.0
Curie,biophoenix_3,5,1.1547619047619047,0.0,4.619047619047619,5.5555555555555545,0.0,22.222222222222218,0.03571428571428571,0.0,0.14285714285714285,0.030927835051546393,14.0,14.0,14,9.0,291.0
Curie,biophoenix_3,10,1.2264367816091952,1.114942528735632,3.3448275862068964,12.22222222222222,11.111111111111109,33.33333333333333,0.03793103448275862,0.034482758620689655,0.10344827586206896,0.030927835051546393,29.0,29.0,29,9.0,291.0
Curie,biophoenix_4,1,3.8505747126436782,3.850574712643678,5.775862068965517,66.66666666666666,66.66666666666666,100.0,0.6666666666666667,0.6666666666666666,1.0,0.17313432835820897,3.0,3.0,3,58.0,335.0
Curie,biophoenix_4,3,3.592781998831093,4.043103448275861,5.775862068965517,62.20338983050848,69.99999999999999,100.0,0.6220338983050848,0.7,1.0,0.17313432835820897,10.0,10.0,10,58.0,335.0
Curie,biophoenix_4,5,3.5487288135593222,4.331896551724138,5.414870689655172,61.440677966101696,75.0,93.74999999999999,0.614406779661017,0.75,0.9375,0.17313432835820897,16.0,16.0,16,58.0,335.0
Curie,biophoenix_4,10,3.1415705860474996,3.850574712643678,4.725705329153605,54.39137134052388,66.66666666666666,81.81818181818183,0.5439137134052389,0.6666666666666666,0.8181818181818182,0.17313432835820897,33.0,33.0,33,58.0,335.0
Curie,biophoenix_5,1,6.4176245210727965,7.701149425287356,11.551724137931034,55.55555555555555,66.66666666666666,100.0,0.5555555555555555,0.6666666666666666,1.0,0.08656716417910447,3.0,3.0,3,29.0,335.0
Curie,biophoenix_5,3,5.929885057471264,6.93103448275862,10.39655172413793,51.33333333333333,60.0,90.0,0.5133333333333333,0.6,0.9,0.08656716417910447,10.0,10.0,10,29.0,335.0
Curie,biophoenix_5,5,5.438936781609195,6.497844827586206,9.385775862068964,47.083333333333336,56.25,81.25,0.4708333333333333,0.5625,0.8125,0.08656716417910447,16.0,16.0,16,29.0,335.0
Curie,biophoenix_5,10,4.340647857889237,5.250783699059561,6.650992685475444,42.75862068965517,51.724137931034484,65.51724137931035,0.3757575757575758,0.45454545454545453,0.5757575757575758,0.08656716417910447,33.0,33.0,33,29.0,335.0
